Name of Restaurant,Location,Cuisine,Top Dishes,Price for 2,Dining Rating,Dining Rating Count,Delivery Rating,Delivery Rating Count,Features,,,,
Kebab Petta,Thousand Lights,"['Chinese', ' South Indian', ' Kebab', ' Rolls']",Invalid,400,3.3,9,4.3,175,"['Home Delivery', 'Indoor Seating']",,,,
Hotel Ayyar Bhavan,Avadi,['South Indian'],Invalid,200,3.4,13,None,Does not offer Delivery,['Indoor Seating'],,,,
Mohan Venkatesan Any Time Meals,Anna Nagar West,"['South Indian', ' Street Food', ' Beverages']",Invalid,300,3.7,8,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating']",,,,
K.S Biriyani Kadai,Saidapet,"['Biryani', ' Chinese']",Invalid,350,None,Does not offer Dining,3.9,26,['Home Delivery'],,,,
Snoop's Paradise,Mahabalipuram,['Seafood'],Invalid,700,None,Not enough Dining Reviews,None,Does not offer Delivery,"['Outdoor Seating', 'Indoor Seating']",,,,
Bommaraja Mess,Sholinganallur,"['South Indian', ' Biryani', ' Chinese', ' Fast Food']",Invalid,200,3,8,3.9,49,"['Home Delivery', 'Indoor Seating']",,,,
La Mesa Restaurant,Semmancheri,"['North Indian', ' Arabian', ' Chinese', ' Seafood', ' Biryani', ' BBQ']",Invalid,1000,3.2,5,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating']",,,,
Arabin Touch,Arumbakkam,"['North Indian', ' Lebanese']",Invalid,250,3.2,6,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating', 'Free Parking']",,,,
Shri Balaji Bhavan,Kanchipuram District,"['South Indian', ' North Indian', ' Beverages', ' Desserts']",Invalid,200,3.1,9,3.4,199,"['Breakfast', 'Home Delivery', 'Indoor Seating']",,,,
Chandrasekar Briyani Center,Tambaram,['South Indian'],Invalid,200,3.6,12,None,Does not offer Delivery,['Indoor Seating'],,,,
S2 Restaurant,Madhavaram,['North Indian'],Invalid,300,3.4,11,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating']",,,,
Idly Man Unit Of VKM Catering,Purasavakkam,['South Indian'],Invalid,200,3.1,10,3.9,79,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Catering Available', 'Free Parking', 'Indoor Seating']",,,,
The Curry Tree,Saligramam,"['Biryani', ' Chinese', ' South Indian']",Invalid,600,2.8,11,3.9,99,"['Home Delivery', 'Indoor Seating']",,,,
Hyderabad Andhra Mess,Perambur,"['South Indian', ' Andhra']",Invalid,250,None,Does not offer Dining,3.9,28,['Home Delivery'],,,,
The Pepper Fry,Egmore,"['Fast Food', ' Beverages']",Invalid,300,None,Does not offer Dining,None,Not enough Delivery Reviews,['Home Delivery'],,,,
Ranjani Boli Stall,K.K. Nagar,"['Street Food', ' Fast Food', ' Rolls']",Invalid,200,2,4,None,Does not offer Delivery,"['Breakfast', 'Takeaway Only']",,,,
La Baguette - Novotel,Novotel Chennai Sipcot,"['Bakery', ' Desserts', ' Fast Food']",Invalid,1000,3.6,8,None,Does not offer Delivery,"['Wheelchair Accessible', 'Valet Parking Available', 'LGBTQIA Friendly', 'Vegan Options', 'Indoor Seating', 'Table booking recommended', 'Disabled Friendly', 'Egg Preparations', 'Smoking Area', 'Desserts and Bakes']",,,,
Sha Corner Shop Briyani & Fast Food,Egmore,"['Chinese', ' North Indian']",Invalid,250,3.6,8,None,Not enough Delivery Reviews,"['Breakfast', 'Home Delivery', 'Indoor Seating']",,,,
Aambur Biriyani,Pallavaram,"['Biryani', ' Chinese']",Invalid,400,3.3,8,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating']",,,,
A K R Brothers Catering & Hotels,Selaiyur,['South Indian'],Invalid,400,3.2,13,None,Not enough Delivery Reviews,"['Breakfast', 'Home Delivery', 'Indoor Seating']",,,,
Secret Spices - Hotel AGT Park,Porur,"['South Indian', ' Seafood', ' Chinese', ' Kerala', ' North Indian']",Invalid,600,2.6,5,3.8,22,"['Home Delivery', 'Free Parking', 'Indoor Seating']",,,,
Grill Culture,Ramapuram,"['Lebanese', ' North Indian', ' Chinese']",Invalid,300,3.3,8,3.9,200,"['Home Delivery', 'Indoor Seating']",,,,
Hotel Nellai Shri Shivanesh,Mogappair,"['North Indian', ' Chinese']",Invalid,300,3.8,9,4,198,"['Home Delivery', 'Indoor Seating']",,,,
Cafe Fresh,Royapettah,"['Fast Food', ' Sandwich', ' Burger', ' Juices', ' Beverages']",Invalid,450,2.8,8,3.9,31,"['Home Delivery', 'Indoor Seating', 'Free Parking']",,,,
Sathvik On Wheels,Mylapore,"['South Indian', ' North Indian']",Invalid,300,None,Does not offer Dining,None,Not enough Delivery Reviews,"['Home Delivery', 'Vegetarian Only']",,,,
Mummies Kitchen,Porur,"['Continental', ' Chinese', ' North Indian']",Invalid,450,None,Does not offer Dining,3.8,86,['Delivery Only'],,,,
Time Out Popcorn,Purasavakkam,['Street Food'],Invalid,150,None,Does not offer Dining,3.9,24,['Home Delivery'],,,,
Tibet Snow Lion,Tambaram,"['Chinese', ' Momos', ' Tibetan']",Invalid,250,None,Does not offer Dining,3.9,17,['Home Delivery'],,,,
Priya Chat & Snacks,Sowcarpet,"['Street Food', ' Fast Food']",Invalid,200,3,13,None,Not enough Delivery Reviews,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating']",,,,
Ramba Bar - Hotel Palmgrove,"Hotel Palmgrove, Nungambakkam",['Finger Food'],Invalid,1200,3,9,None,Does not offer Delivery,"['Vegetarian Only', 'Full Bar Available', 'Indoor Seating']",,,,
Hotel Green City,Muttukadu,"['North Indian', ' South Indian', ' Chinese']",Invalid,300,3.2,8,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating']",,,,
Grandma's Kai Manam,Karapakkam,"['South Indian', ' North Indian', ' Chettinad']",Invalid,300,3.2,7,3.9,43,"['Home Delivery', 'Indoor Seating']",,,,
Sri Kumars,Ambattur,"['Chettinad', ' South Indian', ' Biryani', ' North Indian']",Invalid,200,3,12,None,Does not offer Delivery,['Indoor Seating'],,,,
Kings Kitchen,Mogappair,"['Fast Food', ' North Indian', ' Momos']",Invalid,250,3.6,7,3.9,48,"['Breakfast', 'Home Delivery', 'Indoor Seating']",,,,
Chennai Corniche,Madipakkam,"['North Indian', ' Chinese']",Invalid,400,3.4,8,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating']",,,,
Humpty Dumpty,T. Nagar,"['Sandwich', ' Rolls']",Invalid,100,None,Does not offer Dining,None,Not enough Delivery Reviews,['Home Delivery'],,,,
Bruno's Kitchen,Madipakkam,"['Fast Food', ' Chinese', ' Beverages']",Invalid,400,3.6,12,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating']",,,,
Soppana Sundari Restaurant,Medavakkam,"['South Indian', ' Chinese', ' North Indian']",Invalid,600,3.3,11,None,Not enough Delivery Reviews,"['Breakfast', 'Home Delivery', 'Indoor Seating']",,,,
Cake & More,Ramapuram,"['Bakery', ' Fast Food']",Invalid,250,3.1,9,None,Not enough Delivery Reviews,"['Home Delivery', 'Free Parking', 'Pre-Ordering Required', 'Desserts and Bakes', 'Indoor Seating']",,,,
Day N Nite,Pallikaranai,"['North Indian', ' Chinese']",Invalid,600,3.3,8,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating', 'Table reservation required']",,,,
The Foodies,K.K. Nagar,"['Sandwich', ' Burger']",Invalid,200,3.2,11,3.6,115,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating']",,,,
Rice & Rotti,Anna Salai,"['North Indian', ' Chinese']",Invalid,350,None,Does not offer Dining,3.9,130,['Delivery Only'],,,,
S.P Briyani And Fast Food,Red Hills,"['Biryani', ' Chinese']",Invalid,250,3,7,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating']",,,,
K.R.S Chettinadu Mess,Mogappair,"['South Indian', ' Chinese']",Invalid,300,3.6,6,None,Not enough Delivery Reviews,"['Breakfast', 'Home Delivery', 'Indoor Seating']",,,,
Royal Express Biriyani,Thuraipakkam,"['Chinese', ' Kerala']",Invalid,300,3.6,5,3.3,32,"['Home Delivery', 'Indoor Seating']",,,,
Lathama Foods,Saidapet,['South Indian'],Invalid,300,None,None,None,None,"['Breakfast', 'Home Delivery', 'Indoor Seating']",,,,
Hotel Sakthi,Park Town,"['North Indian', ' Chinese', ' South Indian', ' Biryani', ' Chettinad', ' Seafood']",Invalid,600,2.8,9,None,Not enough Delivery Reviews,"['Breakfast', 'Home Delivery', 'Indoor Seating']",,,,
Bengali Mess,Potheri,"['North Indian', ' Rolls']",Invalid,200,3.7,9,None,Not enough Delivery Reviews,['Home Delivery'],,,,
SV Kebab Junction,Pallikaranai,"['Kebab', ' North Indian', ' Rolls']",Invalid,400,None,Does not offer Dining,3.9,37,['Home Delivery'],,,,
Barkath Biryani,Perambur,"['Biryani', ' North Indian', ' Lebanese', ' Chinese']",Invalid,250,None,None,None,None,"['Breakfast', 'Home Delivery', 'Indoor Seating']",,,,
Radha's Bhavan,Porur,['South Indian'],Invalid,200,3,10,None,Does not offer Delivery,"['Breakfast', 'Vegetarian Only', 'Indoor Seating']",,,,
Sri Govinda Bhavan,Triplicane,"['South Indian', ' Chinese']",Invalid,200,3.5,13,3.9,35,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating']",,,,
Pullingo Biryani,Karapakkam,['Biryani'],Invalid,250,3.2,9,None,Does not offer Delivery,['Indoor Seating'],,,,
Doner Bistro,Medavakkam,"['BBQ', ' Lebanese']",Invalid,300,3.5,7,3.7,51,"['Home Delivery', 'Indoor Seating', 'Self Service']",,,,
Karma,Mahabalipuram,"['North Indian', ' Chinese']",Invalid,900,3,5,None,Does not offer Delivery,"['Breakfast', 'Vegetarian Only', 'Outdoor Seating', 'Indoor Seating', 'Smoking Area', 'Free Parking', 'Poolside', 'Wifi', 'Buffet', 'Free Wifi']",,,,
Stars Biryani,Sholinganallur,"['Biryani', ' Fast Food']",Invalid,250,3,14,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating']",,,,
Hotel Saravana,Nanganallur,"['South Indian', ' Chinese']",Invalid,250,None,Not enough Dining Reviews,None,Not enough Delivery Reviews,"['Home Delivery', 'Free Parking', 'Indoor Seating']",,,,
Joe's Cafe,Mahabalipuram,"['South Indian', ' Cafe', ' Fast Food']",Invalid,500,3.5,8,None,Does not offer Delivery,"['Outdoor Seating', 'Indoor Seating', 'Desserts and Bakes']",,,,
Bommi Mess,T. Nagar,['South Indian'],Invalid,100,3.4,11,None,Does not offer Delivery,"['Breakfast', 'Indoor Seating']",,,,
The Fire BBQ,Old Mahabalipuram Road (OMR),"['BBQ', ' Kebab', ' Fast Food']",Invalid,350,None,Not enough Dining Reviews,None,Does not offer Delivery,['Indoor Seating'],,,,
Chiko and Arab Hub,Thuraipakkam,"['Biryani', ' North Indian', ' Chinese']",Invalid,500,3,10,3.2,278,"['Home Delivery', 'Table Reservation Not Required', 'Indoor Seating']",,,,
Sri Kumaran Hotel,Chetpet,"['South Indian', ' Chinese']",Invalid,250,2.8,10,3.9,34,"['Breakfast', 'Home Delivery', 'Indoor Seating', 'Catering Available']",,,,
The Shas Kitchen,Avadi,"['South Indian', ' Chinese']",Invalid,300,None,Does not offer Dining,3.9,154,['Home Delivery'],,,,
Rahmas Biryani,Ashok Nagar,"['Biryani', ' Beverages', ' North Indian']",Invalid,300,None,Does not offer Dining,4.1,379,['Home Delivery'],,,,
The Happy Jars,T. Nagar,['Desserts'],Invalid,200,None,Does not offer Dining,None,Not enough Delivery Reviews,"['Delivery Only', 'Desserts and Bakes']",,,,
Gitanjali Veg Restaurant,T. Nagar,"['South Indian', ' Chinese', ' Beverages']",Invalid,200,2.2,11,None,Does not offer Delivery,"['Breakfast', 'Vegetarian Only', 'Indoor Seating']",,,,
My Bro Kitchen,Kanchipuram District,"['North Indian', ' South Indian']",Invalid,200,None,Does not offer Dining,None,Not enough Delivery Reviews,['Home Delivery'],,,,
Shree Agarwal Sweets,Choolaimedu,"['Mithai', ' Street Food']",Invalid,250,None,Not enough Dining Reviews,None,Does not offer Delivery,"['Vegetarian Only', 'Indoor Seating', 'Desserts and Bakes']",,,,
Bangalore Bakery,Alwarpet,"['Bakery', ' Fast Food', ' Desserts', ' Beverages']",Invalid,350,None,Not enough Dining Reviews,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating']",,,,
Paati's Mess,Pallavaram,['South Indian'],Invalid,600,None,Does not offer Dining,2,69,['Delivery Only'],,,,
The Chef's Karandi,Adambakkam,"['North Indian', ' South Indian', ' Chinese', ' Chettinad']",Invalid,500,3.6,13,None,Not enough Delivery Reviews,"['Breakfast', 'Home Delivery', 'Indoor Seating']",,,,
Sindhu Mess,Tambaram,['South Indian'],Invalid,200,3.5,8,4.1,234,"['Breakfast', 'Home Delivery', 'Indoor Seating']",,,,
Mayo Bistro,Anna Nagar West,['Cafe'],Invalid,300,3.3,9,None,Does not offer Delivery,"['Indoor Seating', 'Desserts and Bakes']",,,,
Saapida Vaanga,Ashok Nagar,['South Indian'],Invalid,300,3.5,10,None,Does not offer Delivery,"['Breakfast', 'Indoor Seating']",,,,
Cafe Meet,Taramani,"['Sandwich', ' Fast Food', ' Juices', ' Beverages']",Invalid,250,3.6,8,3.4,23,"['Home Delivery', 'Indoor Seating']",,,,
Manam,Ramapuram,['South Indian'],Invalid,300,None,Does not offer Dining,4.1,188,['Home Delivery'],,,,
Scooping Tales,Arumbakkam,"['Beverages', ' Fast Food']",Invalid,250,3.3,11,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating']",,,,
Perumal Cafe,T. Nagar,"['South Indian', ' Chinese']",Invalid,250,3.7,6,4.1,201,"['Breakfast', 'Home Delivery', 'Indoor Seating']",,,,
Salad Bay,Madipakkam,"['Salad', ' Sandwich']",Invalid,250,3.5,11,None,Does not offer Delivery,"['Breakfast', 'Outdoor Seating']",,,,
Trichy's Thalavaazhai,Perungudi,['South Indian'],Invalid,350,2.6,12,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating']",,,,
Sauce 'O' Cheese,Selaiyur,['Fast Food'],Invalid,250,2.6,10,3.5,72,"['Home Delivery', 'Free Parking', 'Indoor Seating', 'Outdoor Seating']",,,,
Arabian Food Court,Vadapalani,"['Chinese', ' Rolls']",Invalid,300,3.3,11,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating']",,,,
Riyas Biriyani,Purasavakkam,"['Biryani', ' North Indian', ' Chinese']",Invalid,300,3.9,6,4.1,84,"['Home Delivery', 'Indoor Seating']",,,,
Arcot Fathima Biriyani,Saidapet,"['Biryani', ' Chinese']",Invalid,300,3,9,4,219,"['Home Delivery', 'Indoor Seating']",,,,
Chen - Mas 1969,Tambaram,['Biryani'],Invalid,250,None,Does not offer Dining,3,14,['Delivery Only'],,,,
Kings Kebab & Biryani,Aminijikarai,"['Fast Food', ' South Indian']",Invalid,200,3.5,9,4,95,"['Home Delivery', 'Indoor Seating']",,,,
Chai Home,Poonamalle,"['Tea', ' Desserts', ' Chinese', ' Fast Food', ' Italian', ' Beverages']",Invalid,400,None,Does not offer Dining,3.9,76,['Delivery Only'],,,,
Chennai Biriyani,Kolathur,"['Biryani', ' North Indian', ' Chinese']",Invalid,550,3.1,5,3.6,128,"['Home Delivery', 'Indoor Seating']",,,,
Squeeze Hub,Navallur,"['Juices', ' Beverages']",Invalid,200,2,4,None,Does not offer Delivery,['Outdoor Seating'],,,,
Jain Food Service Chennai,Purasavakkam,['Rajasthani'],Invalid,400,None,Does not offer Dining,3,76,"['Breakfast', 'Delivery Only', 'Serves Jain Food']",,,,
Chennai Fried Chicken,Pallavaram,['North Indian'],Invalid,300,None,Does not offer Dining,3.8,344,['Home Delivery'],,,,
Big Boss Cool Drinks And Fast Food,Perambur,"['BBQ', ' Chinese', ' Lebanese']",Invalid,300,None,Does not offer Dining,3.6,17,"['Breakfast', 'Delivery Only']",,,,
Bakes N Fryes,Valasaravakkam,"['Bakery', ' Fast Food', ' Sandwich', ' Rolls', ' Beverages', ' Desserts']",Invalid,300,None,Not enough Dining Reviews,4.1,82,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes']",,,,
Kebab Trip,Perambur,"['Chinese', ' North Indian']",Invalid,500,3,9,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating']",,,,
Bellys Cakes,Tambaram,"['Bakery', ' Desserts']",Invalid,350,None,Not enough Dining Reviews,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes']",,,,
Meet My bread,George Town,"['Beverages', ' BBQ', ' Fast Food']",Invalid,400,2,4,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating']",,,,
Snack Bowl,Velachery,['Mediterranean'],Invalid,300,None,Does not offer Dining,None,Not enough Delivery Reviews,['Home Delivery'],,,,
Pazhaya Soru Pacha Milaga,Madipakkam,['South Indian'],Invalid,300,None,Not enough Dining Reviews,None,Does not offer Delivery,"['Breakfast', 'Vegetarian Only', 'Indoor Seating']",,,,
Kareem's Darbar,Shenoy Nagar,"['Biryani', ' Chinese', ' South Indian', ' Fast Food']",Invalid,200,None,None,None,None,"['Breakfast', 'Home Delivery', 'Indoor Seating']",,,,
Jigarthanda Factory,Karapakkam,"['Ice Cream', ' Desserts']",Invalid,200,None,Does not offer Dining,3.9,67,['Home Delivery'],,,,
Amudhu Home Foods,Porur,"['South Indian', ' Chettinad']",Invalid,250,None,Does not offer Dining,3.5,151,['Delivery Only'],,,,
Paya Roti,Triplicane,"['North Indian', ' Chinese']",Invalid,250,3.3,11,3.6,124,"['Home Delivery', 'Indoor Seating']",,,,
VB Sweets & Snacks,Mylapore,"['Mithai', ' Street Food', ' Sandwich']",Invalid,200,2,4,3.4,32,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Desserts and Bakes']",,,,
The Lassi And Falooda,Porur,"['Beverages', ' Desserts']",Invalid,100,None,Does not offer Dining,3.9,22,"['Home Delivery', 'Desserts and Bakes']",,,,
Paratha Experiment by Ola Foods,Thuraipakkam,"['North Indian', ' Beverages']",Invalid,200,None,Does not offer Dining,3.9,23,['Delivery Only'],,,,
Guinness'd Bar,"BKR Grand Hotel, T. Nagar",['Finger Food'],Invalid,1200,3.7,10,None,Does not offer Delivery,"['Full Bar Available', 'Free Parking', 'Wifi', 'Nightlife', 'Indoor Seating']",,,,
Marani Cakes And Bakes,Kolathur,['Bakery'],Invalid,200,3.4,11,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes', 'Home Baker']",,,,
Hyderabad Biryani,Navallur,"['Biryani', ' South Indian', ' North Indian', ' Chinese', ' Fast Food', ' Beverages']",Invalid,350,3,11,3.4,522,"['Home Delivery', 'Indoor Seating']",,,,
Madras Bistro 1308,Sholinganallur,['Fast Food'],Invalid,450,None,Not enough Dining Reviews,None,Not enough Delivery Reviews,"['Home Delivery', 'Free Parking', 'Indoor Seating']",,,,
JJ Biriyani,Vandalur,"['Biryani', ' South Indian']",Invalid,250,3.3,10,3.8,582,"['Home Delivery', 'Indoor Seating']",,,,
Madurai Special Jigarthanda,Medavakkam,['Beverages'],Invalid,200,3.4,11,3.7,217,"['Home Delivery', 'Indoor Seating']",,,,
Asli Thali,Thiruvanmiyur,"['North Indian', ' South Indian', ' Desserts']",Invalid,350,2.8,8,3.7,336,"['Home Delivery', 'Indoor Seating', 'Table Reservation Not Required']",,,,
Ameen Special Biriyani,Porur,"['Biryani', ' Arabian', ' Chinese']",Invalid,400,2.9,11,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating']",,,,
Swaad Nation,Nanganallur,"['North Indian', ' Fast Food', ' Chinese', ' Street Food', ' Beverages']",Invalid,600,3.6,7,None,Not enough Delivery Reviews,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating']",,,,
Sea Food Samayal,Perambur,"['Seafood', ' Kerala']",Invalid,500,None,Does not offer Dining,3.1,60,['Home Delivery'],,,,
"Balaji - Fruit Salad, Fresh Juice And Tiffin Centre",Taramani,"['Fast Food', ' Beverages']",Invalid,450,None,Does not offer Dining,3.2,290,"['Breakfast', 'Home Delivery']",,,,
Lassi Magic,Purasavakkam,['Beverages'],Invalid,200,None,Does not offer Dining,4.2,122,['Home Delivery'],,,,
Atho Mohinga Kadai,Ambattur,"['Burmese', ' Beverages', ' Fast Food']",Invalid,150,3.5,9,None,Does not offer Delivery,['Indoor Seating'],,,,
House of Pizzas,Thuraipakkam,['Pizza'],Invalid,500,3,10,3.3,299,"['Home Delivery', 'Indoor Seating']",,,,
Soda Hub,"OMR Food Street, Navallur",['Beverages'],Invalid,40,3.2,8,None,Does not offer Delivery,"['Takeaway Only', 'Vegetarian Only', 'Desserts and Bakes']",,,,
Lala Jilebi Wala,West Mambalam,['Mithai'],Invalid,200,3.2,6,None,Does not offer Delivery,"['Takeaway Only', 'Vegetarian Only', 'Desserts and Bakes']",,,,
Tara Pan Shop,Kilpauk,['Paan'],Invalid,100,None,Not enough Dining Reviews,None,Does not offer Delivery,['Takeaway Only'],,,,
Fried Mirchi No 1 Desi Food,Mylapore,['Fast Food'],Invalid,120,3.4,8,4.2,123,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating']",,,,
Best Biryani Center,Madhavaram,"['Biryani', ' North Indian']",Invalid,300,3.4,13,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating']",,,,
Shana's Kitchen,Mylapore,"['Sandwich', ' Fast Food', ' Beverages']",Invalid,400,3.3,7,3.9,149,"['Home Delivery', 'Indoor Seating']",,,,
Bronx,"Hotel Manhattan, Mylapore","['Bar Food', ' Chinese']",Invalid,1000,2.7,11,None,Does not offer Delivery,"['Full Bar Available', 'Wifi', 'Rooftop', 'Indoor Seating', 'Nightlife', 'Live Music']",,,,
Gio Pizza,Anna Nagar East,"['Pizza', ' Italian', ' Beverages']",Invalid,350,3.6,8,3.2,170,"['Home Delivery', 'Indoor Seating']",,,,
Arafa Hot Foods,Anna Nagar West,"['Biryani', ' South Indian', ' Chinese']",Invalid,250,3.6,10,3.7,38,"['Home Delivery', 'Indoor Seating']",,,,
The Food Factory,Maduravoyal,"['Chinese', ' Arabian', ' North Indian']",Invalid,400,3.5,7,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating']",,,,
Sri Kumaran Karaikudi Mess,Thuraipakkam,['South Indian'],Invalid,300,None,Does not offer Dining,3.6,993,['Delivery Only'],,,,
Tea Nagar's Cafe,T. Nagar,['Beverages'],Invalid,200,None,Does not offer Dining,3.9,38,"['Home Delivery', 'Standing Tables']",,,,
6th Round,"Ranga Residency, Chengalpattu","['North Indian', ' Chinese', ' Biryani']",Invalid,1000,3,7,None,Does not offer Delivery,"['Indoor Seating', 'Table Reservation Not Required']",,,,
Badroon Briyani,Poonamalle,"['Biryani', ' North Indian']",Invalid,300,None,Not enough Dining Reviews,None,Does not offer Delivery,['Indoor Seating'],,,,
Nazeer Briyani & Bc,Park Town,"['North Indian', ' Street Food', ' Biryani']",Invalid,200,3.3,12,None,Not enough Delivery Reviews,"['Breakfast', 'Home Delivery', 'Indoor Seating']",,,,
Halal Briyani & Fast Food,Chromepet,"['North Indian', ' Biryani']",Invalid,350,3.4,13,None,Not enough Delivery Reviews,"['Home Delivery', 'Free Parking', 'Indoor Seating']",,,,
Brownie,Ambattur,"['Bakery', ' Desserts']",Invalid,200,2.6,7,None,Not enough Delivery Reviews,"['Home Delivery', 'Desserts and Bakes', 'Indoor Seating']",,,,
Burger Guyz,Anna Nagar East,"['Burger', ' Street Food']",Invalid,200,None,Does not offer Dining,3.7,163,['Home Delivery'],,,,
Cherries 'N' Berries,Perambur,['Beverages'],Invalid,150,3.6,7,3.9,447,"['Home Delivery', 'Indoor Seating', 'Outdoor Seating']",,,,
Nellai Kari Virunthu,K.K. Nagar,"['Fast Food', ' Italian', ' South Indian', ' Chinese']",Invalid,550,3.1,8,2.6,57,"['Home Delivery', 'Indoor Seating']",,,,
The Romans Biriyani,Taramani,"['South Indian', ' Biryani', ' Chinese']",Invalid,400,2.9,8,4.1,87,"['Home Delivery', 'Indoor Seating']",,,,
Al Ameen Biriyani Centre,Mogappair,"['Biryani', ' Chinese']",Invalid,400,3.4,12,3.9,59,"['Home Delivery', 'Indoor Seating']",,,,
Nayagaraa Fresh Juice,Porur,"['Beverages', ' Juices']",Invalid,150,None,Does not offer Dining,None,Not enough Delivery Reviews,['Home Delivery'],,,,
Dessert Kings,Navallur,"['Ice Cream', ' Desserts', ' Beverages']",Invalid,350,None,Does not offer Dining,3.6,171,"['Home Delivery', 'Desserts and Bakes']",,,,
Olo Foodies In,Thuraipakkam,['Fast Food'],Invalid,300,None,Does not offer Dining,3,25,['Delivery Only'],,,,
The Heaven Cakes,Perungudi,"['Bakery', ' Desserts']",Invalid,300,None,None,None,None,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes']",,,,
Venmathi Restaurant,Maduravoyal,"['Biryani', ' Chinese', ' Lebanese']",Invalid,350,3.2,8,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating']",,,,
Tasty Bites,Royapuram,['Rolls'],Invalid,300,3.4,8,3.9,37,"['Home Delivery', 'Indoor Seating']",,,,
Grillland BBQ,Chengalpattu,"['BBQ', ' Fast Food']",Invalid,400,3,9,3.7,27,"['Home Delivery', 'Free Parking', 'Indoor Seating', 'Outdoor Seating']",,,,
Thangam Tiffen Centre,Thiruvanmiyur,['South Indian'],Invalid,200,3,7,4,147,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Outdoor Seating']",,,,
Best,Parrys,"['Fast Food', ' Rolls', ' Ice Cream', ' Juices', ' Beverages']",Invalid,350,2.8,10,3.7,98,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating']",,,,
Subzero Milkshakes,Adambakkam,"['Desserts', ' Ice Cream']",Invalid,300,3.5,8,3.9,95,"['Home Delivery', 'Indoor Seating']",,,,
90s Kids,Kodambakkam,"['Burger', ' Fast Food', ' Chinese', ' Beverages']",Invalid,300,3.4,10,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating']",,,,
Bombay Natural Kulfi,Tambaram,['Desserts'],Invalid,150,3.2,9,3.9,54,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Desserts and Bakes']",,,,
Thirsty Tiger,Saidapet,"['Sandwich', ' Fast Food', ' Beverages']",Invalid,500,3.2,7,None,Not enough Delivery Reviews,"['Home Delivery', 'Vegetarian Only', 'Outdoor Seating', 'Indoor Seating']",,,,
The Dinnerr Stories,Anna Nagar West,"['Chinese', ' North Indian', ' Lebanese']",Invalid,400,3.7,8,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating']",,,,
Hotel Bright,Parrys,"['Chinese', ' North Indian']",Invalid,350,2.9,9,3.6,71,"['Breakfast', 'Home Delivery', 'Indoor Seating']",,,,
Chennai Frankie,GST Road,"['Rolls', ' Beverages']",Invalid,200,3.6,9,None,Not enough Delivery Reviews,"['Home Delivery', 'Outdoor Seating']",,,,
Royal King Of Shawarma,Vettuvankeni,"['Fast Food', ' Chinese']",Invalid,200,3.3,11,3.5,240,"['Home Delivery', 'Indoor Seating']",,,,
Ginza Japanese Restaurant,Alwarpet,['Japanese'],Invalid,1500,3.3,8,None,Does not offer Delivery,['Indoor Seating'],,,,
Balaji Mess,Chengalpattu,"['South Indian', ' Fast Food', ' Street Food']",Invalid,200,3.8,9,None,Not enough Delivery Reviews,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating']",,,,
Lassi Remix,Taramani,"['Beverages', ' Fast Food']",Invalid,200,3.2,9,4,250,"['Home Delivery', 'Outdoor Seating']",,,,
